month,day,hour,weekday,user_id,weather,temp_bin,label,category
1,10,8,4,1,snow,1,ダウンジャケット,outer
1,20,8,0,1,clouds,3,ダウンジャケット,outer
3,10,9,0,1,rain,7,トレンチコート,outer
3,15,10,5,1,clouds,8,トレンチコート,outer
4,5,9,5,1,clear,9,カーディガン,outer
4,15,8,1,1,clear,9,ジャケット,outer
7,13,14,6,1,clouds,11,カーディガン,outer
7,13,16,6,1,clouds,13,カーディガン,outer
7,13,16,6,1,clouds,13,カーディガン,outer
10,10,7,4,1,clouds,8,カーディガン,outer
10,20,9,0,1,clouds,7,ジャケット,outer
12,10,7,2,1,clouds,5,コート,outer
12,15,6,0,1,rain,4,コート,outer
1,10,8,4,1,clouds,2,ブーツ,shoes
5,1,9,3,1,clouds,11,スニーカー,shoes
5,25,9,6,1,clouds,12,スリッポン,shoes
6,5,9,3,1,rain,11,レインブーツ,shoes
6,10,9,1,1,clear,13,スリッポン,shoes
7,1,10,1,1,clear,16,サンダル,shoes
7,10,9,3,1,clear,15,スニーカー,shoes
7,13,14,6,1,clear,16,サンダル,shoes
7,13,14,6,1,clouds,13,スニーカー,shoes
7,13,14,6,1,clouds,11,ローファー,shoes
7,13,14,6,1,rain,6,ブーツ,shoes
7,13,16,6,1,clouds,13,スニーカー,shoes
7,13,16,6,1,clouds,13,スニーカー,shoes
8,1,10,4,1,clear,16,サンダル,shoes
10,1,8,2,1,rain,10,レインブーツ,shoes
12,15,8,0,1,snow,1,ブーツ,shoes
3,25,11,1,1,clouds,10,ネックレス,accessory
4,5,11,5,1,clear,10,ネックレス,accessory
4,6,12,6,1,clouds,11,ブレスレット,accessory
4,10,12,3,1,rain,11,ブレスレット,accessory
5,1,8,3,1,clouds,10,バックパック,accessory
5,2,8,4,1,clouds,10,ショルダーバッグ,accessory
5,20,8,1,1,clear,9,バックパック,accessory
6,10,9,1,1,clear,14,帽子,accessory
6,18,9,2,1,clouds,12,ショルダーバッグ,accessory
7,1,10,1,1,clear,16,日傘,accessory
7,5,9,5,1,clear,15,サングラス,accessory
7,10,10,3,1,clear,14,帽子,accessory
7,13,14,6,1,clear,16,サングラス,accessory
7,13,14,6,1,clouds,13,帽子,accessory
7,15,10,1,1,clear,15,日傘,accessory
7,15,13,1,1,clear,15,日傘,accessory
7,17,2,3,1,clear,16,帽子,accessory
7,17,2,3,1,clear,16,日傘,accessory
7,17,2,3,1,clear,16,サングラス,accessory
7,17,2,3,1,rain,11,帽子,accessory
7,17,2,3,1,rain,11,日傘,accessory
7,17,2,3,1,clear,10,ネックレス,accessory
7,17,2,3,1,clear,10,ブレスレット,accessory
7,17,2,3,1,clear,10,バックパック,accessory
7,17,2,3,1,clear,10,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
